test_id	run_time_sec	chosen_model_type	chosen_test_acc	best_model_type	best_test_acc	RF_acc	NN_acc	DT_acc	SVM_acc
ailerons	86.8	NN	87.879%	NN	87.879%	87.758%	87.879%	81.018%	84.097%
banknote-authentication	46.9	RF	98.786%	NN	99.272%	98.786%	99.272%	77.913%	98.301%
cmc	52.1	RF	71.946%	RF	71.946%	71.946%	66.968%	63.575%	69.005%
delta-ailerons	72.7	RF	94.016%	RF	94.016%	94.016%	93.922%	92.754%	91.772%
_dis	52.8	NN	98.498%	RF	98.498%	98.498%	98.498%	98.410%	87.898%
fri-c0-1000-50	43.3	RF	85.000%	RF	85.000%	85.000%	76.333%	75.333%	82.000%
GAMETES-Epistasis-2-Way-20atts-0.4H-EDM-1-1-RF	47.3	NN	70.000%	NN	70.000%	48.542%	70.000%	50.000%	50.833%
GAMETES-Epistasis-3-Way-20atts-0.2H-EDM-1-1-NN	47.3	RF	52.500%	DT	55.833%	52.500%	48.333%	55.833%	52.917%
hypothyroid	48.4	DT	98.852%	RF	98.940%	98.940%	97.173%	98.852%	92.314%
ipums-la-99-small	62.9	RF	93.632%	DT	93.670%	93.632%	93.444%	93.670%	93.557%
SEA-50000	463.5	DT	87.068%	DT	87.068%	83.869%	84.179%	87.068%	82.880%
letter	50.3	RF	99.550%	RF	99.550%	99.550%	97.633%	96.967%	88.267%
mc1	54.7	RF	99.472%	RF	99.472%	99.472%	99.296%	99.437%	97.289%
MiniBooNE	561.3	RF	94.075%	RF	94.075%	94.075%	89.300%	79.393%	74.124%
mofn-3-7-10	32.0	RF	100.000%	RF	100.000%	100.000%	100.000%	77.889%	89.447%
musk	72.5	RF	100.000%	RF	100.000%	100.000%	99.192%	99.949%	84.596%
mv	98.1	DT	99.992%	DT	99.992%	99.722%	99.133%	99.992%	59.660%
MyIris	46.8	NN	100.000%	NN	100.000%	97.778%	100.000%	95.556%	66.667%
nomao	191.2	RF	96.132%	RF	96.132%	96.132%	95.058%	91.983%	93.027%
nursery	33.5	RF	100.000%	RF	100.000%	100.000%	100.000%	100.000%	88.503%
adult	82.8	RF	87.095%	RF	87.095%	87.095%	81.458%	85.941%	76.039%
sick	43.3	RF	97.792%	RF	97.792%	97.792%	94.435%	96.908%	93.905%
Speech	62.6	NN	98.101%	RF	98.101%	98.101%	98.101%	97.197%	94.394%
SpeedDating	103.3	RF	100.000%	RF	100.000%	100.000%	83.731%	97.534%	83.532%
